Course_number,Time1,Place
1122_132519,M9a,YB458[YM]
1122_132520,M78,YB458[YM]
1122_132521,F56,YB458[YM]
1122_132522,W78,YB134[YM]
1122_132523,R78,YB458[YM]
1122_132524,W234,YB134[YM]
1122_132600,M789,YL403[YM]
1122_132601,T34,YK533[YM]
1122_132603,Wn56,YK436[YM]
1122_132604,W789,YK436[YM]
1122_132605,Wab,YK533[YM]
1122_132606,M56,YK208[YM]
1122_132607,R56,YK436[YM]
1122_132608,F234,YK436[YM]
1122_132609,F567,YK602
1122_132610,F567,YK436[YM]
1122_132611,F8,NULL
1122_132612,F9ab,YK436[YM]
1122_132613,T34,YK436[YM]
1122_132614,T567,YK436[YM]
1122_132615,R567,YK602
1122_132616,T567,YK101[YM]
1122_132617,Tab,YK436[YM]
1122_132700,Fn5,YL823[YM]
1122_132701,R56,YL839[YM]
1122_132702,T67,NULL
1122_132703,T34,YL839[YM]
1122_132704,F34,YL824[YM]
1122_132706,W34,YL839[YM]
1122_132707,M56,YL839[YM]
1122_132708,M56,EE129[GF]
1122_132708,M56,YL824[YM]
1122_132709,W34,CS100[GF]
1122_132709,W34,YL824[YM]
1122_132710,T56,YL839[YM]
1122_132711,M567,YL823[YM]
1122_132712,M234,YL839[YM]
1122_132713,T56,YL837[YM]
1122_132800,M56,YC313[YM]
1122_132801,W567,YC313[YM]
1122_132802,T56,YC313[YM]
1122_132803,T78,YC302[YM]
1122_132805,F56,YC313[YM]
1122_132806,Un,NULL
1122_132807,Un,NULL
1122_132808,M34,YC401[YM]
1122_132809,M34,YC313[YM]
1122_132810,R34,YC313[YM]
1122_132811,R56,YC313[YM]
1122_132812,R34,YC302[YM]
1122_132813,T34,YC401[YM]
1122_132814,Uy,YC313[YM]
1122_132816,F56,YC302[YM]
1122_132900,U34,NULL
1122_132901,T78,YC501[YM]
1122_132902,R78,YC501[YM]
1122_132903,R78,YC516[YM]
1122_132904,F34,YL404[YM]
1122_132905,W56,YC516[YM]
1122_132906,M56,YC501[YM]
1122_132907,M34,YL402[YM]
1122_132908,W34,YC516[YM]
1122_132909,W56,YC713[YM]
1122_132910,R34,YC501[YM]
1122_132911,F34,YC501[YM]
1122_132912,T56,YC501[YM]
1122_132913,M78,YC501[YM]
1122_133000,M56,YL735[YM]
1122_133001,R78,YL403[YM]
1122_133002,M34,YR104[YM]
1122_133003,M34,YR102[YM]
1122_133004,T34,YR104[YM]
1122_133005,T78,YT202[YM]
1122_133006,T78,YK533[YM]
1122_133007,T78,YK104[YM]
1122_133008,W56,YK104[YM]
1122_133010,R234,YK101[YM]
1122_133012,T56,YL405[YM]
1122_133013,R78,YR104[YM]
1122_133014,F234,YK533[YM]
1122_133015,T234,YR102[YM]
1122_133016,R56,YC401[YM]
1122_133017,R56,YL735[YM]
1122_133018,F56,YL735[YM]
1122_133019,M89,YK101[YM]
1122_133020,R56,YK104[YM]
1122_133021,T9,YT202[YM]
1122_133022,M56,YK101[YM]
1122_133024,F34,YR102[YM]
1122_133025,R56,YK101[YM]
1122_133100,T567,YX206[YM]
1122_133101,W34n,YX206[YM]
1122_133102,W567,YX206[YM]
1122_133103,T9,YX206[YM]
1122_133104,Rabc,YX211[YM]
1122_133105,F34n,YX206[YM]
1122_133107,F78,YX206[YM]
1122_133108,R567,YX206[YM]
1122_133200,F9a,YX201[YM]
1122_133201,F234,YX211[YM]
1122_133202,T234,YX211[YM]
1122_133203,T7,YX207[YM]
1122_133204,W234,YX211[YM]
1122_133205,W567,YX211[YM]
1122_133206,R234,YX211[YM]
1122_133207,R678,YX211[YM]
1122_133208,R789,HC101[GF]
1122_133300,R567,YX322[YM]
1122_133301,F12,YX322[YM]
1122_133302,M567,YX322[YM]
1122_133303,W567,YX322[YM]
1122_133304,T567,YX322[YM]
1122_133305,T34n,YX322[YM]
1122_133500,U56,YN109[YM]
1122_133501,U1234,YN109[YM]
1122_133502,R78,YN613[YM]
1122_133503,R56,YN109[YM]
1122_133504,T9ab,YN109[YM]
1122_133505,R34,YR102[YM]
1122_133506,T56,YR102[YM]
1122_133507,W56,YN109[YM]
1122_133508,R34,YN109[YM]
1122_133600,W78,NULL
1122_133700,M678,NULL
1122_140200,R2,NULL
1122_140300,R78,YL405[YM]
1122_140301,U1,NULL
1122_140302,R78,NULL
1122_140303,U1,NULL
1122_140304,U1,NULL
1122_140400,M56,YR103[YM]
1122_140401,R12,YR103[YM]
1122_140402,F56,YR105[YM]
1122_140403,M78,YR104[YM]
1122_140404,F34,YR104[YM]
1122_140405,R34n,YR101[YM]
1122_140406,M78,YR104[YM]
1122_140407,R56,YR101[YM]
1122_140408,R34n,YR101[YM]
1122_140409,F56,YR104[YM]
1122_140410,R12,YR101[YM]
1122_140411,T56,NULL
1122_140500,R34,YN613[YM]
1122_140501,W56,YN613[YM]
1122_140600,M78,YS105[YM]
1122_140601,M78,YS105[YM]
1122_140602,T34,YB100[YM]
1122_140603,T34,YB100[YM]
1122_140604,T56,YS105[YM]
1122_140605,T56,YS105[YM]
1122_140606,W4n,YS415[YM]
1122_140607,W4n,YS415[YM]
1122_140608,R56,YS105[YM]
1122_140610,W4n,YS415[YM]
1122_140611,W4n,YS415[YM]
1122_140613,T12,YS105[YM]
1122_140700,R3,YN118[YM]
1122_140701,R78,YN118[YM]
1122_140702,R78,YN118[YM]
1122_140800,M56,YR101[YM]
1122_140801,R789,YR318[YM]
1122_140802,Uy,NULL
1122_140803,Un,NULL
1122_140900,T78,YL402[YM]
1122_140901,T56,YL845[YM]
1122_141000,W56,NULL
1122_141001,W56,NULL
1122_141002,Un,NULL
1122_141003,Un,NULL
1122_141004,W34,NULL
1122_141005,S34n56,NULL
1122_141006,Ty56,NULL
1122_141200,M9a,YD302[YM]
1122_141400,F56,YN301[YM]
1122_141401,F34,YN301[YM]
1122_141403,F78,YN301[YM]
1122_141404,F789,YN603[YM]
1122_141500,R12345678,NULL
1122_141501,F56,YN419[YM]
1122_141502,R12345678,NULL
1122_141503,R12345678,NULL
1122_141504,F9a,YN416[YM]
1122_141505,R12345678,NULL
1122_141506,F78,YN416[YM]
1122_141600,T56,YC101[YM]
1122_141601,T78,YC101[YM]
1122_141602,R56,YC101[YM]
1122_141603,R56,YC101[YM]
1122_141700,T78,YT104[YM]
1122_141800,R89,YB100[YM]
1122_141900,Uy,YB429[YM]
1122_141901,M5678,YB102[YM]
1122_141902,M5678,YB102[YM]
1122_141903,F12,YB530[YM]
1122_142000,F34,YB101[YM]
1122_142400,R78,YL837[YM]
1122_142500,R34,YC401[YM]
1122_142501,Un,NULL
1122_142502,Un,NULL
1122_142503,Un,NULL
1122_142600,U56,NULL
1122_142601,T78,YC516[YM]
1122_142700,Sn,NULL
1122_142701,W56,YL735[YM]
1122_142800,R56,NULL
1122_142804,F56,NULL
1122_142805,M56,NULL
1122_142806,F56,NULL
1122_142807,F34,NULL
1122_142808,T56,NULL
1122_142810,F56,NULL
1122_142811,T78,NULL
1122_142812,R34,NULL
1122_142900,Un,NULL
1122_142901,Sn,NULL
1122_142902,M56,NULL
1122_143100,Sc,NULL
1122_143101,Ud,NULL
1122_143102,Ub,NULL
1122_143200,Un,NULL
1122_143201,R78,NULL
1122_143202,F5678,NULL
1122_143203,T234,NULL
1122_143204,R234,NULL
1122_143205,R56,NULL
1122_143300,W5678,YR102[YM]
1122_143301,Un,NULL
1122_150106,S7,YX216[YM]
1122_150111,Fab,YN511[YM]
1122_150200,F56,YN418[YM]
1122_150201,Fab,YN318[YM]
1122_150207,R9a,YN414B[YM]
1122_150209,F56,YN416[YM]
1122_150210,R56,YN603[YM]
1122_150213,F34,YN414[YM]
1122_150215,F5678,YN414[YM]
1122_161000,F34,A103[GF]
1122_161000,F34,YT301[YM]
1122_161001,F56,A103[GF]
1122_161001,F56,YT301[YM]
1122_161002,W9a,A204[GF]
1122_161003,T34,YX216[YM]
1122_161004,M12,YT103[YM]
1122_161005,M34,YT103[YM]
1122_161006,T12,YT202[YM]
1122_161007,T12,YT206[YM]
1122_161008,T12,YT305[YM]
1122_161009,T12,YX201[YM]
1122_161010,T34,YT104[YM]
1122_161011,T34,YT202[YM]
1122_161012,T34,YT206[YM]
1122_161013,T56,YX503[YM]
1122_161015,R12,YT204[YM]
1122_161016,R12,YT205[YM]
1122_161017,R12,A103[GF]
1122_161017,R12,YX201[YM]
1122_161018,R34,YT104[YM]
1122_161019,R34,YT202[YM]
1122_161020,R34,YT205[YM]
1122_161021,R34,YX201[YM]
1122_161022,R34,YT304[YM]
1122_161023,R56,YT205[YM]
1122_161024,F34,YT204[YM]
1122_161025,F56,YT204[YM]
1122_161026,F34,YX202[YM]
1122_161027,F78,YX202[YM]
1122_161028,W9a,YX202[YM]
1122_161029,Uyz,NULL
1122_161030,R56,NULL
1122_161031,R56,NULL
1122_161032,R56,NULL
1122_161033,R56,NULL
1122_161034,R56,NULL
1122_161035,R56,NULL
1122_161036,R56,NULL
1122_161037,R78,NULL
1122_161038,R78,NULL
1122_161039,R78,NULL
1122_161040,R78,NULL
1122_161041,R78,NULL
1122_161042,R78,NULL
1122_161043,R78,NULL
1122_161044,R78,NULL
1122_161045,R78,NULL
1122_161046,R78,NULL
1122_161048,R78,YX201[YM]
1122_161049,M78,YT206[YM]
1122_161050,Ucd,NULL
1122_161051,T12,YL403[YM]
1122_161052,R34,EE129[GF]
1122_161052,R34,YL839[YM]
1122_161053,T56,A103[GF]
1122_161055,T78,YX201[YM]
1122_162000,M56,YX201[YM]
1122_162001,M78,YX201[YM]
1122_162002,F78,YX501[YM]
1122_162003,F56,YX501[YM]
1122_162004,M34,YT104[YM]
1122_162005,M12,YT104[YM]
1122_162006,R56,YX201[YM]
1122_162007,T12,YT204[YM]
1122_162008,T34,YT204[YM]
1122_162009,W12,YT205[YM]
1122_162010,W12,YT301[YM]
1122_162011,T12,YT103[YM]
1122_162012,R12,YT103[YM]
1122_162013,R34,YT103[YM]
1122_162014,R12,YT203[YM]
1122_162015,F12,YT104[YM]
1122_162016,F34,YT104[YM]
1122_230000,M234,TA506[BM]
1122_230001,R567,TA506[BM]
1122_230002,Rabc,TB307[BM]
1122_230003,M567,TA506[BM]
1122_230004,F567,TA506[BM]
1122_230005,T789,TB305[BM]
1122_230006,T56,TB307[BM]
1122_230007,Fabc,TA506[BM]
1122_230008,W234,TB307[BM]
1122_230009,T234,TB307[BM]
1122_230010,Tabc,TB435[BM]
1122_230011,M678,TB435[BM]
1122_230012,Mabc,TB307[BM]
1122_230013,R234,TB307[BM]
1122_230014,T789,TB435[BM]
1122_230015,W567,TB435[BM]
1122_230016,M234,TB307[BM]
1122_230017,Tabc,TB307[BM]
1122_230018,W567,TB307[BM]
1122_230019,R234,TA506[BM]
1122_230020,W567,A407[GF]
1122_230021,F234,TB435[BM]
1122_230022,W234,TB435[BM]
1122_310000,F234,HKB09[LJ]
1122_310001,T234,HKB09[LJ]
1122_310002,M567,HKB09[LJ]
1122_310003,W234,HKB09[LJ]
1122_310005,W78,HK105[LJ]
1122_310006,W78,HK106[LJ]
1122_310007,T8,HKB09[LJ]
1122_310008,F567,HK106[LJ]
1122_310009,M567,HKB08[LJ]
1122_310011,F567,HK119[LJ]
1122_310012,R567,HK105[LJ]
1122_310013,T234,HK105[LJ]
1122_310014,R234,HK105[LJ]
1122_310017,M234,HKB09[LJ]
1122_310018,F567,HK105[LJ]
1122_310100,M567,HK104[LJ]
1122_310101,M567,HK114[LJ]
1122_310102,T234,HK104[LJ]
1122_310103,W9a,HK215[LJ]
1122_310104,R67,HK114[LJ]
1122_310105,T8,HKB08[LJ]
1122_310106,F234,HK114[LJ]
1122_310107,M89,HK104[LJ]
1122_310108,T567,HK114[LJ]
1122_310109,M567,A305[GF]
1122_310110,R234,HKB08[LJ]
1122_310111,W234,HK104[LJ]
1122_310112,T567,HKB08[LJ]
1122_310113,R567,HK104[LJ]
1122_310114,R234,HK104[LJ]
1122_310116,R567,HK206[LJ]
1122_310118,F234,HK104[LJ]
1122_310119,F567,HK114[LJ]
1122_310120,W78,HK104[LJ]
1122_310121,M234,HKB08[LJ]
1122_330000,T234,HK207[LJ]
1122_330001,R567,HK207[LJ]
1122_330002,Rabc,HK207[LJ]
1122_330003,M567,HK207[LJ]
1122_330004,W56,HK207[LJ]
1122_330005,M234,HK207[LJ]
1122_330006,W789,HK120[LJ]
1122_330009,R234,HK207[LJ]
1122_330010,T567,HK207[LJ]
1122_330100,T567,HK206[LJ]
1122_330101,F234,HK206[LJ]
1122_330102,R234,HK206[LJ]
1122_330104,T234,HK206[LJ]
1122_330105,W234,HK206[LJ]
1122_340000,R678,HK318[LJ]
1122_410000,T56,SB210[GF]
1122_410001,W78,SC109[GF]
1122_410002,W78,SC110[GF]
1122_410003,M78,CS
1122_410004,M567,BI310[BA]
1122_410005,T2,A103[GF]
1122_410006,M234,BI302[BA]
1122_410007,M234,BI303[BA]
1122_410008,R567,SC256[GF]
1122_410009,R567,SC258[GF]
1122_410010,W234,BI302[BA]
1122_410011,M8,BI303[BA]
1122_410012,W234,BI309[BA]
1122_410013,F567,SC105[GF]
1122_410014,U1234,NULL
1122_410015,U567,NULL
1122_410017,F34,BI301[BA]
1122_410018,F34,BI302[BA]
1122_410019,F34,BI303[BA]
1122_410020,F34,BI309[BA]
1122_410021,F34,BI308[BA]
1122_410022,F34,BI311[BA]
1122_410023,F56,BI302[BA]
1122_410024,R567,SC211[GF]
1122_410026,M56,BI302[BA]
1122_410028,R34,BI303[BA]
1122_410029,Wab,SC109[GF]
1122_410030,M89,CS
1122_410030,F78,NULL
1122_410031,W567,BI304[BA]
1122_410032,T34,BI302[BA]
1122_410034,W34,BI310[BA]
1122_430000,T56,NULL
1122_430016,F567,BI311[BA]
1122_430017,M567,BI308[BA]
1122_430018,F123,NULL
1122_430019,S78,NULL
1122_430020,W789,BI311[BA]
1122_430021,R34n,BI301[BA]
1122_430022,T9,BI302[BA]
1122_430023,W567,BI303[BA]
1122_430024,T234,BI301[BA]
1122_430025,T234,BI303[BA]
1122_430026,R567,BI309[BA]
1122_430027,M34,BI309[BA]
1122_430028,R234,BI311[BA]
1122_430029,W234,BI308[BA]
1122_430030,T7,BI301[BA]
1122_430031,T7,BI302[BA]
1122_430032,T7,BI303[BA]
1122_430033,T7,BI311[BA]
1122_430034,R567,BI303[BA]
1122_430035,F567,BI310[BA]
1122_430036,F234,NULL
1122_430037,S567,NULL
1122_430038,M9ab,BI303[BA]
1122_430100,T56,BI135[BA]
1122_430101,M4,BI310[BA]
1122_430102,M3,BI310[BA]
1122_430103,R567,BI305[BA]
1122_430104,W234,SC106[GF]
1122_430105,M567,BI305[BA]
1122_430106,T9,SC151[GF]
1122_430107,R234,BI305[BA]
1122_430108,M567,BI301[BA]
1122_430109,W5689,BI305[BA]
1122_430110,T234,BI305[BA]
1122_430111,W567,BI310[BA]
1122_430200,T56,NULL
1122_430201,M567,BI311[BA]
1122_430202,F567,BI301[BA]
1122_430203,W56,BI301[BA]
1122_430204,R567,BI302[BA]
1122_430205,W234,BI311[BA]
1122_430206,W789,BI309[BA]
1122_430207,M567,BI309[BA]
1122_430208,R567,BI311[BA]
1122_430209,R567,BI301[BA]
1122_440000,T7,BI309[BA]
1122_440001,T78,NULL
1122_440100,T234,NULL
1122_440101,R234,NULL
1122_440102,F678,NULL
1122_440103,R78,NULL
1122_440104,R56,NULL
1122_440105,S234,NULL
1122_510000,M56,AB101[GF]
1122_510001,M56,AB102[GF]
1122_510002,R56,ED303[GF]
1122_514000,M34,YX502[YM]
1122_514001,W34,AD027[GF]
1122_514002,W9ab,EE115[GF]
1122_514003,T56,HC103[GF]
1122_514004,M567,HC103[GF]
1122_514005,W56,HC104[GF]
1122_514006,R34,HC514[GF]
1122_514009,T34,HC104[GF]
1122_514010,F234,HC103[GF]
1122_514011,T56,HC101[GF]
1122_514012,Tabc,HC104[GF]
1122_514013,T34,NULL
1122_514014,W34,HC103[GF]
1122_514015,R78,HC104[GF]
1122_514016,T78,HC103[GF]
1122_514017,W56,HC101[GF]
1122_514018,Tabc,HA109[GF]
1122_514019,M789,HC104[GF]
1122_514020,W56,NULL
1122_514021,W56,HC103[GF]
1122_514022,W34,HC104[GF]
1122_514024,R56,HC104[GF]
1122_514026,Fn56,HC104[GF]
1122_514027,R9ab,NULL
1122_514028,M8,HC103[GF]
1122_514100,F34,CS
1122_514101,R56,HC402[GF]
1122_514102,R56,F207[GF]
1122_514103,T234,F210[GF]
1122_514104,W234,F210[GF]
1122_514105,M34,HC102[GF]
1122_514106,M34,HC401[GF]
1122_514107,M34,HC402[GF]
1122_514108,R34,F210[GF]
1122_514110,W78,NULL
1122_514111,T567,F210[GF]
1122_514112,W234,F322[GF]
1122_514113,W234,F206[GF]
1122_514114,W234,F207[GF]
1122_514115,M34,F207[GF]
1122_514116,M56,F206[GF]
1122_514117,M56,F203[GF]
1122_514118,T567,HC402[GF]
1122_514120,M56,F207[GF]
1122_514121,M78,F206[GF]
1122_514122,M78,F203[GF]
1122_514123,F234,HC402[GF]
1122_514124,M78,F207[GF]
1122_514125,T567,HC102[GF]
1122_514126,T567,HC401[GF]
1122_514127,T567,F207[GF]
1122_514128,M234,HC404[GF]
1122_514129,W234,HC401[GF]
1122_514130,R567,HC401[GF]
1122_514131,T234,HC402[GF]
1122_514132,S234,NULL
1122_514133,F234,HC401[GF]
1122_514134,R234,F207[GF]
1122_514135,T234,F203[GF]
1122_514800,F34,EE115[GF]
1122_514801,M56,EE115[GF]
1122_514802,F56,EE115[GF]
1122_514803,M56,HC514[GF]
1122_515000,T56,ED203[GF]
1122_515001,T56,EDB01[GF]
1122_515002,T56,ED301[GF]
1122_515003,T56,EDB26[GF]
1122_515004,T56,EE207[GF]
1122_515005,T56,ED101[GF]
1122_515005,F2,ED103[GF]
1122_515006,T34,ED303[GF]
1122_515007,T34,EE207[GF]
1122_515008,T34,ED116[GF]
1122_515009,T34,ED203[GF]
1122_515010,T34,ED101[GF]
1122_515011,F234,EE118[GF]
1122_515012,M34,ED103[GF]
1122_515013,M34,EE623[GF]
1122_515014,M34,ED303[GF]
1122_515015,M34,ED203[GF]
1122_515016,M34,ED116[GF]
1122_515018,M78,ED303[GF]
1122_515019,M78,ED219[GF]
1122_515020,M78,ED103[GF]
1122_515021,M78,EE102[GF]
1122_515022,M78,ED201[GF]
1122_515023,M78,EE209[GF]
1122_515024,Mabcd,NULL
1122_515025,Wabcd,NULL
1122_515026,Tabcd,NULL
1122_515027,Tabcd,NULL
1122_515028,Mabcd,NULL
1122_515029,Wabcd,NULL
1122_515030,M56,EE105[GF]
1122_515031,M56,ED219[GF]
1122_515032,M56,EE102[GF]
1122_515036,M56,EDB26[GF]
1122_515038,Rabcd,NULL
1122_515101,W5,EE209[GF]
1122_515102,W6,EE209[GF]
1122_515103,W78,NULL
1122_515104,T34n,EE113[GF]
1122_515105,F34,ED220[GF]
1122_515106,T56ab,EE634[GF]
1122_515107,Rabcd,NULL
1122_515108,Mn56abc,EE635[GF]
1122_515109,T56abcd,ED713[GF]
1122_515110,Tabc,CS
1122_515110,Tn56,ED201[GF]
1122_515111,Mabc,CS
1122_515111,Mn56,ED220[GF]
1122_515112,Mabc,CS
1122_515112,Mn56,ED201[GF]
1122_515113,T34,EE102[GF]
1122_515114,T34,ED301[GF]
1122_515115,M34n,EE208[GF]
1122_515116,Rn56,EE632[GF]
1122_515117,M8,ED101[GF]
1122_515117,F78,ED203[GF]
1122_515118,T2,ED301[GF]
1122_515119,R567,EE208[GF]
1122_515120,F567,ED713[GF]
1122_515121,M34,EE102[GF]
1122_515122,F78ab,EE635[GF]
1122_515123,T7,EDB26[GF]
1122_515124,R567,NULL
1122_515125,M2,EE623[GF]
1122_515126,M56,ED116[GF]
1122_515127,T78,ED219[GF]
1122_515128,T78,ED116[GF]
1122_515130,T7,ED203[GF]
1122_515131,W234,NULL
1122_515132,W34,EE208[GF]
1122_515133,T34,ED219[GF]
1122_515134,T34,EDB27[GF]
1122_515134,F2,NULL
1122_515135,T34,EE209[GF]
1122_515136,T56,EE208[GF]
1122_515145,F678,EE105[GF]
1122_515146,T5,ED220[GF]
1122_515147,Rabc,ED116[GF]
1122_515148,W78,ED301[GF]
1122_515148,F2,ED303[GF]
1122_515149,M7,ED101[GF]
1122_515149,R56,ED116[GF]
1122_515150,W567,NULL
1122_515151,M2,EE209[GF]
1122_515152,M2,ED116[GF]
1122_515153,M567,ED301[GF]
1122_515154,Mabc,EE105[GF]
1122_515155,W234,ED713[GF]
1122_515156,T2,ED101[GF]
1122_515157,M34,EE113[GF]
1122_515158,T7,EE207[GF]
1122_515159,Wabc,ED116[GF]
1122_515160,M34,EDB26[GF]
1122_515161,T567,ED103[GF]
1122_515401,M56,CY203[GF]
1122_515402,T34n,CY203[GF]
1122_515403,W8,CY202[GF]
1122_515404,T56,CY202[GF]
1122_515405,T34,CY202[GF]
1122_515406,M4,CY202[GF]
1122_515407,T5,CY203[GF]
1122_515408,M56,CY202[GF]
1122_515409,Mabcd,CY202[GF]
1122_515410,Wabcd,CY202[GF]
1122_515411,T2,CY202[GF]
1122_515412,T78,CY202[GF]
1122_515414,W78,EO103[GF]
1122_515415,T234,EO105[GF]
1122_515416,M234,EO105[GF]
1122_515417,T234,CY201[GF]
1122_515500,M34,EC015[GF]
1122_515501,M34,EC114[GF]
1122_515502,M34,EC122[GF]
1122_515503,W34,EC016[GF]
1122_515504,W34,ED117[GF]
1122_515505,W34,EDB27[GF]
1122_515506,M56,EC114[GF]
1122_515506,Tabc,EC315[GF]
1122_515506,Tabc,EC316[GF]
1122_515506,Tabc,EC324[GF]
1122_515507,M56,EC122[GF]
1122_515507,Rabc,EC315[GF]
1122_515507,Rabc,EC316[GF]
1122_515507,Rabc,EC324[GF]
1122_515508,M56,EDB27[GF]
1122_515508,Mabc,EC315[GF]
1122_515508,Mabc,EC316[GF]
1122_515508,Mabc,EC324[GF]
1122_515509,R56,EC122[GF]
1122_515510,R56,EC115[GF]
1122_515511,R56,EC016[GF]
1122_515512,M7,EC015[GF]
1122_515513,M7,EC016[GF]
1122_515514,T56,ED117[GF]
1122_515515,T56,EC122[GF]
1122_515516,W34,EC115[GF]
1122_515517,W34,EC114[GF]
1122_515518,T7,EC114[GF]
1122_515519,T7,EC122[GF]
1122_515600,Fabc,EC115[GF]
1122_515601,T34n,ED302[GF]
1122_515604,T34,ED202[GF]
1122_515605,F34n,EC315[GF]
1122_515605,F34n,EC316[GF]
1122_515605,F34n,EC324[GF]
1122_515606,M34,EC115[GF]
1122_515607,M7,ED102[GF]
1122_515608,F56,EC220[GF]
1122_515608,F56,EC221[GF]
1122_515608,F56,EC222[GF]
1122_515609,R34,ED302[GF]
1122_515610,Mab,EC114[GF]
1122_515611,T2,ED117[GF]
1122_515613,M56,EC115[GF]
1122_515614,Rabc,EC115[GF]
1122_515615,T56,EC015[GF]
1122_515617,W78,EC114[GF]
1122_515617,W78,EC122[GF]
1122_515618,T34,EC122[GF]
1122_515619,M56,EC015[GF]
1122_515620,T34,EC114[GF]
1122_515624,T567,ED102[GF]
1122_515625,R78,EC122[GF]
1122_515625,S234,EC315[GF]
1122_515625,S234,EC316[GF]
1122_515625,S234,EC324[GF]
1122_516000,M9ab,EEB42[GF]
1122_516002,F34,EE548[GF]
1122_516004,W78,NULL
1122_516005,W78,EE102[GF]
1122_516006,W3,ED103[GF]
1122_516006,R56,EE207[GF]
1122_516007,M5,ED103[GF]
1122_516008,F56,EE548[GF]
1122_516010,M56,EE209[GF]
1122_516010,W4,ED103[GF]
1122_516011,T2,EE207[GF]
1122_516100,T56,EE324[GF]
1122_516101,T56,EE130[GF]
1122_516102,T34,EE324[GF]
1122_516103,T34,EE106[GF]
1122_516104,M234,EA105[GF]
1122_516105,F234,EA105[GF]
1122_516106,T567,EE206[GF]
1122_516107,Wabc,EE205[GF]
1122_516108,W78,EE106[GF]
1122_516109,T1,EE105[GF]
1122_516110,W5,EE106[GF]
1122_516111,R567,EE205[GF]
1122_516112,T2,EE132[GF]
1122_516113,M56,EE130[GF]
1122_516114,M56,EE106[GF]
1122_516115,T234,EE206[GF]
1122_516116,T2,EE106[GF]
1122_516117,M8,EE210[GF]
1122_516118,T78,EE210[GF]
1122_516119,M234,NULL
1122_516120,Wabc,EE132[GF]
1122_516121,Tabc,NULL
1122_516122,Mabc,NULL
1122_516123,M78,EE106[GF]
1122_516124,M78,EE206[GF]
1122_516125,W234,EE132[GF]
1122_516126,W2,EE206[GF]
1122_516127,T234,EE205[GF]
1122_516128,Rabc,EE205[GF]
1122_516129,Rabc,EE210[GF]
1122_516130,F234,EE205[GF]
1122_516131,Syz,EE132[GF]
1122_516132,T234,EE231[GF]
1122_516133,T7,EE132[GF]
1122_516200,W78,EB117[GF]
1122_516201,W9a,EB117[GF]
1122_516202,Tabc,EB115[GF]
1122_516203,R789,EB115[GF]
1122_516204,Wn56,CS
1122_516205,Rabc,CS
1122_516206,M56,EB118[GF]
1122_516207,M56,EB115[GF]
1122_516208,Rn56,EB118[GF]
1122_516209,Wn56,EB115[GF]
1122_516210,M78,EB118[GF]
1122_516211,T56,EB115[GF]
1122_516212,T234,EB118[GF]
1122_516213,T234,EB227[GF]
1122_516214,M56,EB117[GF]
1122_516215,M56,EB108[GF]
1122_516216,W234,EB107[GF]
1122_516217,W234,EB118[GF]
1122_516218,Mn,EB117[GF]
1122_516218,Tab,EB108[GF]
1122_516219,Mn,EB117[GF]
1122_516219,Wb,EB108[GF]
1122_516220,R34,EB118[GF]
1122_516221,R34,EB107[GF]
1122_516222,M34,EB115[GF]
1122_516223,F234,EB415[GF]
1122_516224,F234,EB117[GF]
1122_516225,F234,EB402[GF]
1122_516226,F234,NULL
1122_516227,F567,EB117[GF]
1122_516229,M34,EB117[GF]
1122_516230,W567,EB415[GF]
1122_516231,W4,EB415[GF]
1122_516232,M234,CS
1122_516233,M567,CS
1122_516300,T2,EF202[GF]
1122_516301,R4,EF201[GF]
1122_516302,M3,EF205[GF]
1122_516303,M4,EF205[GF]
1122_516304,M56,EF205[GF]
1122_516307,F78,NULL
1122_516308,R56,EF205[GF]
1122_516309,T56,EF201[GF]
1122_516310,R67,EF207[GF]
1122_516311,T34,EF202[GF]
1122_516312,T78,EF205[GF]
1122_516313,T56,EF104[GF]
1122_516314,W3,EF205[GF]
1122_516400,R9ab,SC110[GF]
1122_516500,F789,SC106[GF]
1122_516501,F789,SC106[GF]
1122_516600,W56,SC158[GF]
1122_516601,R56,SC158[GF]
1122_516602,W78,SC158[GF]
1122_516603,M34,SC204[GF]
1122_516604,Wabcd,SC326[GF]
1122_516605,Tabcd,SC326[GF]
1122_516606,F345,SC158[GF]
1122_516607,M8,SC158[GF]
1122_516608,M7,SC158[GF]
1122_516609,T34,SC158[GF]
1122_516610,W34,SC158[GF]
1122_516611,M56,SC158[GF]
1122_516612,T56,SC158[GF]
1122_516613,F5678,SC358[GF]
1122_516614,F5678,SC324[GF]
1122_516615,M34n,SC160[GF]
1122_516616,M56,SC160[GF]
1122_516617,F234,SC160[GF]
1122_516618,T234,SC160[GF]
1122_516619,R567,SC204[GF]
1122_516620,Wab,SC158[GF]
1122_516700,M56,SA320[GF]
1122_516701,T78,SC201[GF]
1122_516702,M9a,SA223[GF]
1122_516703,W78,SA321[GF]
1122_516704,T34,SA214[GF]
1122_516705,T34,SA215[GF]
1122_516706,M78,SA320[GF]
1122_516707,M56,SA321[GF]
1122_516708,T2,SA320[GF]
1122_516709,W6,SA311[GF]
1122_516710,W234,SA321[GF]
1122_516800,M56,SB203[GF]
1122_516801,W78,SB201[GF]
1122_516802,W234,NULL
1122_516803,T34,SC159[GF]
1122_516804,T5678,SB120[GF]
1122_516805,M34,SB211[GF]
1122_516806,Rn5678,SB120[GF]
