Course_number,Time1,Place
1122_111922,Mcd,NULL
1122_111923,Tcd,NULL
1122_112000,F56,YB102[YM]
1122_112001,M56,YT301[YM]
1122_112002,T56,YT103[YM]
1122_112003,U1,NULL
1122_112004,F34,YB102[YM]
1122_112005,Wn9,NULL
1122_112006,W56,YB229[YM]
1122_112007,W9,NULL
1122_112008,T78,YT304[YM]
1122_112009,M567,YB229[YM]
1122_112010,T34,YT103[YM]
1122_112011,R78,YB101[YM]
1122_112012,M34,YB101[YM]
1122_112013,W12,YX406[YM]
1122_112014,T34,YT305[YM]
1122_112015,W5678,YED214[YM]
1122_112016,T567,YB229[YM]
1122_112017,M56,YT202[YM]
1122_112018,T56,YT104[YM]
1122_112019,W34,YT304[YM]
1122_112020,W34,YB102[YM]
1122_112021,T56,YT304[YM]
1122_112022,M34,YT304[YM]
1122_112100,R678,YT304[YM]
1122_112101,F234,YED309[YM]
1122_112102,Tn56,YT303[YM]
1122_112103,T234,YT303[YM]
1122_112104,M234,YT305[YM]
1122_112105,W34,YT103[YM]
1122_112106,W34,YT203[YM]
1122_112107,F567,YT104[YM]
1122_112108,M567,YT303[YM]
1122_112109,T789,YE003[YM]
1122_112110,M234,YT303[YM]
1122_112111,M89,YEA200[YM]
1122_112112,W567,YT304[YM]
1122_112113,R234,YT303[YM]
1122_112114,W89a,YEA200[YM]
1122_112115,T567,YT204[YM]
1122_112116,Tn,YEA200[YM]
1122_112117,Mn,YEA200[YM]
1122_112118,Wn,YEA200[YM]
1122_112119,T234,YT203[YM]
1122_112120,F234,YE003[YM]
1122_112121,T234,YE003[YM]
1122_112122,W567,YED202[YM]
1122_112123,M567,YT304[YM]
1122_112125,W34,YT103[YM]
1122_112126,W34,YT103[YM]
1122_112127,W34,YT203[YM]
1122_112128,W34,YT203[YM]
1122_112129,Sab,NULL
1122_112130,Uab,NULL
1122_112131,M567,YE003[YM]
1122_112132,W567,YEA300[YM]
1122_112200,T567,YE003[YM]
1122_112201,W12,YB601[YM]
1122_112202,M567,YB602[YM]
1122_112203,U12,NULL
1122_112204,M34,YB601[YM]
1122_112205,T34,YB601[YM]
1122_112206,R123,YB603[YM]
1122_112207,W8,YB624[YM]
1122_112208,U7,NULL
1122_112209,U6,NULL
1122_112210,T12,YB624[YM]
1122_112211,M5,YB624[YM]
1122_112212,F12,YB602[YM]
1122_112213,T34,YB602[YM]
1122_112214,R56,YB602[YM]
1122_112215,R78,YB602[YM]
1122_112216,F56,YB624[YM]
1122_112217,S23,YB601[YM]
1122_112218,T5678,YB602[YM]
1122_112219,W56,YB603[YM]
1122_112220,F34,YB602[YM]
1122_112221,Sn,NULL
1122_112222,S78,NULL
1122_112223,Un,NULL
1122_112224,U12,NULL
1122_112225,Fn,NULL
1122_112226,U34,NULL
1122_112227,U5678,NULL
1122_112228,Syz,NULL
1122_112229,Uyz,NULL
1122_112230,Un,NULL
1122_112231,W12345678,NULL
1122_112232,F12345678,NULL
1122_112233,R12,YB624[YM]
1122_112234,F78,YB603[YM]
1122_112235,F12,YB601[YM]
1122_112236,F34,YB601[YM]
1122_112237,F56,YB601[YM]
1122_112238,M5678,YB601[YM]
1122_112239,R5678,YB601[YM]
1122_112240,T5,YB601[YM]
1122_112241,T7,YB601[YM]
1122_112242,M34,YB602[YM]
1122_112243,S23,YB610[YM]
1122_112244,W567,YB624[YM]
1122_112245,R12,YB601[YM]
1122_112246,R34,YB601[YM]
1122_112247,W7,YB601[YM]
1122_112248,W8,YB601[YM]
1122_112249,T2,YB602[YM]
1122_112250,S9a,YB624[YM]
1122_112251,Fbc,YB603[YM]
1122_112252,Sd,NULL
1122_112253,Myz,NULL
1122_112254,Fyz,NULL
1122_112255,W34,NULL
1122_112256,M56,YX216[YM]
1122_112257,W34,NULL
1122_112258,M34,YB624[YM]
1122_112259,F9a,YB624[YM]
1122_112260,R9a,YB603[YM]
1122_112263,Syz,NULL
1122_112264,Syz,NULL
1122_112265,Uyz,NULL
1122_112269,Wyz,NULL
1122_112300,M78,YT103[YM]
1122_112301,R56,YT104[YM]
1122_112302,M34,YB100[YM]
1122_112304,W34,YT303[YM]
1122_112305,W34,YT303[YM]
1122_112306,W34,YT303[YM]
1122_112307,R78,YT104[YM]
1122_112308,M234,YB458[YM]
1122_112309,M56,YT206[YM]
1122_112310,T34,YB102[YM]
1122_112311,M78,YB118[YM]
1122_112311,F2,YT205[YM]
1122_112312,T78,YB118[YM]
1122_112312,F2,YT103[YM]
1122_112313,T9a,YB458[YM]
1122_112314,W34,YT204[YM]
1122_112315,W34,YT204[YM]
1122_112316,W34,YT204[YM]
1122_112317,M234,YT205[YM]
1122_112318,F56,YB100[YM]
1122_112319,T12,YB458[YM]
1122_112320,M56,YT204[YM]
1122_112321,F78,YB102[YM]
1122_112322,W56,YT205[YM]
1122_112323,R56,YT303[YM]
1122_112324,T5678,YB101[YM]
1122_112325,T34,YB458[YM]
1122_112326,W9a,NULL
1122_112327,F34,YT103[YM]
1122_112328,M78,YB101[YM]
1122_112329,Sc,NULL
1122_112330,S67,NULL
1122_112331,W34,YB458[YM]
1122_112331,W34,YL401[YM]
1122_112332,W567,YB118[YM]
1122_112333,W567,YB102[YM]
1122_112334,S5,NULL
1122_112335,U2,NULL
1122_112336,U1,NULL
1122_112337,S8,NULL
